oid,main_id,otype_txt,V,long,NAME,ra,dec,z,radvel,dist_pc,name
965490,Cl Collinder  135,OpC,2.1,Open (galactic) Cluster,,109.36200000000001,-37.044000000000004,5.347175407455218e-05,16.03,340.0,Cl Collinder  135
811736,NGC  1980,OpC,2.5,Open (galactic) Cluster,Lower Sword,83.85,-5.915000000000001,7.672268508085446e-05,23.0,535.0,NGC  1980 | Lower Sword
2317321,NGC  6231,OpC,2.6,Open (galactic) Cluster,,253.5354583333333,-41.82666666666667,-6.37087127828284e-05,-19.1,1451.0,NGC  6231
931564,Cl Collinder  121,OpC,2.6,Open (galactic) Cluster,,104.08333333333336,-24.73,0.00010474461160892011,31.4,932.0,Cl Collinder  121
797567,Cl Collinder   69,OpC,2.8,Open (galactic) Cluster,lam Ori Cluster,83.792,9.812999999999999,9.156753643857485e-05,27.45,424.5,Cl Collinder   69 | lam Ori Cluster
2669960,Cl Melotte  186,OpC,3.0,Open (galactic) Cluster,,270.598,3.26,1.2075093150043514e-05,3.62,493.33333333333326,Cl Melotte  186
2328302,C 1652-407,OpC,3.4,Open (galactic) Cluster,,253.87498,-40.83333,-9.689567526915964e-05,-29.05,,C 1652-407
964509,Cl Collinder  132,OpC,3.6,Open (galactic) Cluster,,108.485,-30.75800000000001,8.673042583495771e-05,26.0,370.5,Cl Collinder  132
2900470,NAME del Lyr Cluster,OpC,3.8,Open (galactic) Cluster,del Lyr Cluster,283.568,36.899,-6.234118618075879e-05,-18.69,373.0,NAME del Lyr Cluster | del Lyr Cluster
3218507,Cl Collinder  240,OpC,3.9,Open (galactic) Cluster,,167.91666999999995,-60.30972,-2.675148261399585e-05,-8.02,,Cl Collinder  240
3280200,NGC   104,GlC,4.09,Globular Cluster,47 Tuc Cluster,6.022329166666666,-72.08144444444444,-5.740473313198269e-05,-17.21,4845.0,NGC   104 | 47 Tuc Cluster
3174519,NGC  3114,OpC,4.2,Open (galactic) Cluster,,150.553,-60.041000000000004,-1.1674675182926642e-05,-3.5,942.654,NGC  3114
319212,C 0516+732,OpC,4.2,Open (galactic) Cluster,,78.1625,73.97471999999998,,,,C 0516+732
800928,NGC  1981,OpC,4.2,Open (galactic) Cluster,Upper Sword,83.7875,-4.431666666666667,9.306871345304836e-05,27.9,400.0,NGC  1981 | Upper Sword
776775,C 0519+409,OpC,4.2,Open (galactic) Cluster,,80.577,41.025,,,1472.0,C 0519+409
3186598,IC 2581,OpC,4.3,Open (galactic) Cluster,,156.86700000000005,-57.62600000000001,-1.534383066259526e-05,-4.6,2446.0,IC 2581
3201486,Cl Collinder  228,OpC,4.4,Open (galactic) Cluster,,161.0,-60.08666666666666,-4.503013899492814e-05,-13.5,2035.62,Cl Collinder  228
930616,M  41,OpC,4.5,Open (galactic) Cluster,,101.499,-20.715999999999998,7.845735296863054e-05,23.52,693.0,M  41
3006179,IC 2395,OpC,4.6,Open (galactic) Cluster,,130.62916666666666,-48.1,5.890915435613486e-05,17.66,705.0,IC 2395
907845,Cl Collinder  106,OpC,4.6,Open (galactic) Cluster,,99.27799999999999,6.0020000000000024,9.573747815427858e-05,28.7,1590.5,Cl Collinder  106
3218184,Cl Feinstein    1,OpC,4.7,Open (galactic) Cluster,,166.68,-59.82,-4.46965898639462e-05,-13.4,1286.5,Cl Feinstein    1
3189117,NGC  3293,OpC,4.7,Open (galactic) Cluster,,158.97,-58.231,-4.00268903477663e-05,-12.0,2728.8140000000003,NGC  3293
2623868,M  10,GlC,4.98,Globular Cluster,,254.28770833333337,-4.100305555555555,0.0002469346316209542,74.02,4000.0,M  10
3204569,Cl Trumpler   16,OpC,5.0,Open (galactic) Cluster,,161.253,-59.7,-8.338754705805583e-05,-25.0,3236.7765,Cl Trumpler   16
909137,Cl Collinder  107,OpC,5.1,Open (galactic) Cluster,,99.20299999999999,4.9719999999999995,4.6366484157900345e-05,13.9,1448.5,Cl Collinder  107
3481828,NGC  6397,GlC,5.17,Globular Cluster,,265.17537500000003,-53.67433333333333,6.134431866966494e-05,18.39,2000.0,NGC  6397
2929544,NGC  6871,OpC,5.2,Open (galactic) Cluster,,301.548,35.76499999999999,-3.5023616668961026e-05,-10.5,1682.5,NGC  6871
2805089,Cl Stock    1,OpC,5.3,Open (galactic) Cluster,,294.14599999999996,25.163,-3.408966947648917e-05,-10.22,350.0,Cl Stock    1
3235743,NGC  3766,OpC,5.3,Open (galactic) Cluster,,174.06099999999995,-61.61599999999999,-5.2034645048770756e-05,-15.6,1643.333333333333,NGC  3766
3375707,NGC  5139,GlC,5.33,Globular Cluster,ome Cen Cluster,201.697,-47.47947222222222,0.0007817795517708338,234.28,5000.0,NGC  5139 | ome Cen Cluster
918232,NGC  2281,OpC,5.4,Open (galactic) Cluster,,102.09100000000001,41.06,6.531398279796541e-05,19.58,529.0,NGC  2281
3443828,NGC  6087,OpC,5.4,Open (galactic) Cluster,S NORMA CL,244.72099999999998,-57.916000000000004,3.8026379152178436e-06,1.14,977.626,NGC  6087 | S NORMA CL
889204,C 0628+059,OpC,5.4,Open (galactic) Cluster,,97.825,5.916666666666668,7.672268508085446e-05,23.0,879.5,C 0628+059
2382534,NGC  6383,OpC,5.5,Open (galactic) Cluster,,263.673,-32.573,-4.002761131327581e-06,-1.2,1084.5,NGC  6383
3201487,Cl Trumpler   14,OpC,5.5,Open (galactic) Cluster,,160.986,-59.553000000000004,-5.0033362611112686e-05,-15.0,3473.66075,Cl Trumpler   14
3394800,NGC  5662,OpC,5.5,Open (galactic) Cluster,,218.734,-56.64000000000001,-7.051296368587591e-05,-21.14,780.176,NGC  5662
2490322,M  19,GlC,5.57,Globular Cluster,,255.65704166666663,-26.267944444444442,0.00048558708154433633,145.54,,M  19
3406566,NGC  5460,OpC,5.6,Open (galactic) Cluster,,211.847,-48.285,-1.5377186559750733e-05,-4.61,699.227,NGC  5460
20380,NGC  7686,OpC,5.6,Open (galactic) Cluster,,352.42199999999997,49.17,2.001404599294432e-05,6.0,,NGC  7686
836902,M  37,OpC,5.6,Open (galactic) Cluster,,88.074,32.545,2.5684765183831004e-05,7.7,1391.5,M  37
254290,Cl Collinder  463,OpC,5.7,Open (galactic) Cluster,,27.031,71.738,-3.8692686481045506e-05,-11.6,751.0,Cl Collinder  463
869716,C 0615+236,OpC,5.7,Open (galactic) Cluster,,94.5,23.63333333333333,8.739761211318253e-05,26.2,910.5,C 0615+236
2624973,M  14,GlC,5.73,Globular Cluster,,264.40062500000005,-3.245916666666667,-0.00020248626185204166,-60.71,,M  14
1016999,NGC  2477,OpC,5.8,Open (galactic) Cluster,,118.046,-38.537,2.4350475422263432e-05,7.3,1369.6666666666667,NGC  2477
2894585,M  13,GlC,5.8,Globular Cluster,Hercules Globular Cluster,250.423475,36.46131944444445,-0.0008151985820963327,-244.49,8000.0,M  13 | Hercules Globular Cluster
2613692,NGC  6705,OpC,5.8,Open (galactic) Cluster,Wild Duck Cluster,282.76599999999996,-6.272,0.00011898939199483928,35.67,1813.5,NGC  6705 | Wild Duck Cluster
2313487,NGC  6124,OpC,5.8,Open (galactic) Cluster,,246.332,-40.661,-6.937892508351862e-05,-20.8,514.5,NGC  6124
858667,NGC  2169,OpC,5.9,Open (galactic) Cluster,,92.125,13.950999999999999,7.672268508085446e-05,23.0,1032.0,NGC  2169
3343788,NGC  5281,OpC,5.9,Open (galactic) Cluster,,206.614,-62.916000000000004,-5.3075310333716714e-05,-15.912,1159.5,NGC  5281
2992756,Cl Pismis    4,OpC,5.9,Open (galactic) Cluster,,128.79,-44.407,0.000100074235985792,30.0,584.0,Cl Pismis    4
3523217,NGC  6250,OpC,5.9,Open (galactic) Cluster,,254.497,-45.951,-5.603719790947537e-05,-16.8,902.5,NGC  6250
2648987,M   5,GlC,5.95,Globular Cluster,,229.63841666666667,2.0810277777777784,0.0001791399646846603,53.7,8000.0,M   5
3360741,NGC  5316,OpC,6.0,Open (galactic) Cluster,,208.516,-61.883,-4.8065430975241526e-05,-14.41,1211.5,NGC  5316
925126,NGC  2301,OpC,6.0,Open (galactic) Cluster,Great Bird Cluster,102.943,0.465,8.849847044567483e-05,26.53,831.5,NGC  2301 | Great Bird Cluster
792981,M  36,OpC,6.0,Open (galactic) Cluster,,84.084,34.135,-4.002761131327581e-06,-1.2,1259.0,M  36
2585552,M  16,OpC,6.0,Open (galactic) Cluster,Eagle Nebula (Star Queen),274.688,-13.792,3.3356965863484696e-05,10.0,1698.75,M  16 | Eagle Nebula (Star Queen)
2637140,M  12,GlC,6.07,Globular Cluster,,251.80908333333332,-1.9485277777777776,-0.0001379192425058351,-41.35,5000.0,M  12
759604,NGC  1746,OpC,6.1,Open (galactic) Cluster,,75.95833333333334,23.77,6.671304157102043e-06,2.0,780.0,NGC  1746
2774099,M  71,GlC,6.1,Globular Cluster,,298.44370833333335,18.779194444444443,-7.428196509551288e-05,-22.27,4000.0,M  71
199732,NGC  7160,OpC,6.1,Open (galactic) Cluster,,328.44799999999987,62.58900000000001,-6.804476037569618e-05,-20.4,851.6666666666665,NGC  7160
2653633,Cl Collinder  350,OpC,6.1,Open (galactic) Cluster,,267.0179999999999,1.525,-4.8832591226011246e-05,-14.64,291.0,Cl Collinder  350
3032795,NGC  2669,OpC,6.1,Open (galactic) Cluster,,131.611,-52.931000000000004,7.038450107588191e-05,21.1,1051.5,NGC  2669
2522962,M  22,GlC,6.17,Globular Cluster,,279.09975000000003,-23.90475,-0.0004927529043671218,-147.76,3000.0,M  22
3202179,Cl Bochum   10,OpC,6.2,Open (galactic) Cluster,,160.55916666666667,-59.14555555555553,-7.338383168353778e-06,-2.2,2027.0,Cl Bochum   10
245572,NGC  1545,OpC,6.2,Open (galactic) Cluster,,65.202,50.221000000000004,-4.369594180331226e-05,-13.1,787.0,NGC  1545
1361420,M   2,GlC,6.25,Globular Cluster,,323.36258333333336,-0.82325,-1.2408507355843312e-05,-3.72,12000.0,M   2
3449176,NGC  6752,GlC,6.28,Globular Cluster,,287.7171249999999,-59.98455555555554,-8.765680236066942e-05,-26.28,,NGC  6752
3186148,C 1033-598,OpC,6.3,Open (galactic) Cluster,,158.94041666666666,-60.126111111111115,-3.275545768843813e-05,-9.82,825.0,C 1033-598
998027,Cl Bochum   15,OpC,6.3,Open (galactic) Cluster,,115.04299999999999,-33.54,,,,Cl Bochum   15
2539327,Cl Collinder  394,OpC,6.3,Open (galactic) Cluster,,283.092,-20.229,-6.3376977255114025e-06,-1.9,685.5,Cl Collinder  394
3268168,Cl Stock   14,OpC,6.3,Open (galactic) Cluster,,175.925,-62.537,-4.102754207979675e-05,-12.3,2146.0,Cl Stock   14
1949986,C 1232+365,OpC,6.3,Open (galactic) Cluster,,188.75416666666663,36.37166666666667,,,,C 1232+365
3379592,NGC  5617,OpC,6.3,Open (galactic) Cluster,,217.452,-60.718999999999994,-0.00011587345334329592,-34.74,1651.0,NGC  5617
1058411,NGC  2546,OpC,6.3,Open (galactic) Cluster,,123.08200000000001,-37.661,5.403884352039867e-05,16.2,927.0,NGC  2546
2194447,M   3,GlC,6.39,Globular Cluster,,205.54841666666664,28.377277777777767,-0.0004911525839920161,-147.28,10000.0,M   3
245105,NGC  1528,OpC,6.4,Open (galactic) Cluster,,63.878,51.218,-3.368940612702431e-05,-10.1,863.0,NGC  1528
134055,NGC   457,OpC,6.4,Open (galactic) Cluster,Owl (ET) Cluster,19.887000000000004,58.27799999999999,-3.859262111927109e-05,-11.57,1907.25,NGC   457 | Owl (ET) Cluster
