hip,oid,main_id,otype_txt,long,ra,dec,Vmag,plx,period,SpType,rgb,temp,name
3,1543943,HD 224699,Em*,Emission-line Star,0.00502431,38.85927901,6.61,2.81,,B9,"rgb(199,216,253)",10368,HD 224699
19,1543947,HD 224721,*,Star,0.05330922,38.30404973,6.53,4.12,,G5,"rgb(255,227,202)",4853,HD 224721
25,1151522,HD 224750,**,Double or multiple star,0.07956353,-44.29056147,6.28,13.74,,G3IV,"rgb(255,236,221)",5394,HD 224750
34,1492405,HD 224758,PM*,High proper-motion Star,0.09958476,26.91810825,6.43,12.71,,F7.5IV-V,"rgb(251,243,244)",6326,HD 224758
43,129437,HD 224784,PM*,High proper-motion Star,0.12870233,59.55967936,6.18,7.63,,G9III-IV,"rgb(255,223,194)",4667,HD 224784
50,3281657,HD 224782,**,Double or multiple star,0.14308505,-53.09771264,6.49,16.89,,G1IV,"rgb(254,241,235)",5905,HD 224782
63,6881,V* CG And,a2*,Variable Star of alpha2 CVn type,0.18180951,45.25333358,6.36,4.81,3.74,B9p SiEu,"rgb(197,214,253)",10752,V* CG And
73,203530,HD 224826,*,Star,0.22032873,66.84801108,6.9,3.97,,K2,"rgb(254,204,157)",3876,HD 224826
88,3281913,* tau Phe,*,Star,0.26909344,-48.8098756,5.71,5.97,,G8III,"rgb(255,229,206)",4967,* tau Phe
106,21653,HD 224870,*,Star,0.33021487,49.98155781,6.22,4.5,,G7II-III,"rgb(255,226,200)",4815,HD 224870
107,3281927,HD 224865,V*,Variable Star,0.33383021,-50.33737333,5.53,5.84,,M2III,"rgb(253,197,144)",3628,HD 224865
119,1588553,HD 224894,*,Star,0.39016602,44.67540116,6.82,7.49,,K0,"rgb(255,222,190)",4578,HD 224894
121,1502019,HD 224895,*,Star,0.39642463,28.42369128,6.83,3.66,,K2III,"rgb(255,215,179)",4314,HD 224895
122,3274649,* tet Oct,PM*,High proper-motion Star,0.39876554,-77.06572447,4.78,14.77,,K2III,"rgb(255,213,173)",4205,* tet Oct
124,129411,HD 224893,*,Star,0.40423123,61.2228008,5.58,0.86,,F0III,"rgb(245,242,252)",6843,HD 224893
128,253267,HD 224890,SB*,Spectroscopic binary,0.41441548,73.6118466,6.5,15.2,,Am...,"rgb(223,232,255)",8304,HD 224890
133,1172532,HD 224914,*,Star,0.42347606,-40.14870204,6.62,3.51,,F5IV,"rgb(252,243,242)",6191,HD 224914
136,1482904,HD 224907,*,Star,0.42869158,24.25311272,6.6,5.84,,K2III-IV,"rgb(255,218,183)",4403,HD 224907
137,1588537,HD 224906,*,Star,0.43270606,42.36714391,6.25,2.45,,B9IIIp Mn,"rgb(197,215,253)",10681,HD 224906
145,1355285,*  29 Psc,V*,Variable Star,0.45603512,-3.02750382,5.13,7.98,,B7III-IV,"rgb(190,210,255)",12066,*  29 Psc
154,1344576,*  30 Psc,LP?,Long Period Variable candidate,0.490079,-6.01407212,4.37,7.86,,M3III,"rgb(253,197,142)",3606,*  30 Psc
159,1367979,V* BU Psc,gD*,Variable Star of gamma Dor type,0.51090686,-2.76617076,6.93,16.92,,A3,"rgb(236,239,255)",7513,V* BU Psc
171,1492688,*  85 Peg,SB*,Spectroscopic binary,0.54231321,27.08225603,5.8,80.63,,G3V,"rgb(255,239,228)",5636,*  85 Peg
179,1314490,HD 224974,SB*,Spectroscopic binary,0.56951496,-13.40743745,6.9,14.91,,G0V,"rgb(252,243,243)",6238,HD 224974
181,129427,V* V822 Cas,LP*,Long-period variable star,0.57377241,60.70316774,6.77,2.51,,M0,"rgb(253,190,128)",3354,V* V822 Cas
183,1239387,* zet Scl,SB*,Spectroscopic binary,0.58300278,-29.72041402,5.04,6.4,,B4V,"rgb(188,209,255)",12488,* zet Scl
186,1422998,*  31 Psc,*,Star,0.60069578,8.95682361,6.33,7.55,,A6V,"rgb(223,232,255)",8304,*  31 Psc
194,1422962,* c Psc,PM*,High proper-motion Star,0.62375948,8.48546309,5.7,26.53,,F0V,"rgb(238,240,255)",7367,* c Psc
207,203262,HD 225009,*,Star,0.65036241,66.09896618,5.87,1.57,,G8III,"rgb(255,221,190)",4574,HD 225009
238,1286600,HD 225045,PM*,High proper-motion Star,0.73953381,-20.04588213,6.25,16.16,,F6/F7V,"rgb(252,243,243)",6273,HD 225045
253,1277053,HD 225069,PM*,High proper-motion Star,0.78273045,-24.14514551,6.46,6.78,,K1III,"rgb(255,216,180)",4356,HD 225069
254,1588627,HD 225068,*,Star,0.78477808,42.74790772,6.73,5.96,,A2,"rgb(207,221,254)",9530,HD 225068
258,1461731,HD 225073,PM*,High proper-motion Star,0.80547707,17.55226848,6.59,6.28,,K0,"rgb(255,219,186)",4467,HD 225073
274,164372,HD 225094,s*b,Blue supergiant star,0.85713616,63.64051986,6.24,0.93,,B3Ia,"rgb(240,240,255)",7264,HD 225094
277,1208769,HD 225101,PM*,High proper-motion Star,0.85949749,-36.25119274,6.96,15.84,,F2V,"rgb(241,241,254)",7140,HD 225101
297,21577,HD 225124,*,Star,0.92435158,48.43690676,6.8,6.42,,A2,"rgb(208,222,254)",9433,HD 225124
301,1295423,*   2 Cet,*,Star,0.93495762,-17.33598771,4.55,14.31,,B9IVn,"rgb(197,214,253)",10752,*   2 Cet
302,203238,V* V398 Cep,LP*,Long-period variable star,0.96516239,66.71218292,6.31,3.31,,M4,"rgb(253,197,143)",3609,V* V398 Cep
330,164397,*   9 Cas,*,Star,1.05692695,62.2876637,5.9,0.89,,A1III,"rgb(234,238,255)",7631,*   9 Cas
343,1304219,HD 225197,HB*,Horizontal Branch Star,1.08247517,-16.52903618,5.78,11.29,,K0III,"rgb(255,221,189)",4549,HD 225197
345,1239495,HD 225200,*,Star,1.08465585,-29.2688217,6.38,7.75,,A1V,"rgb(202,218,253)",10051,HD 225200
355,1327570,*   3 Cet,V*,Variable Star,1.12549376,-10.5095233,4.99,2.03,,K3Ibvar,"rgb(253,197,143)",3622,*   3 Cet
365,1555305,HD 225218,**,Double or multiple star,1.15244468,42.09253054,6.11,1.94,,B9III,"rgb(221,230,255)",8494,HD 225218
377,3276145,HD 225253,*,Star,1.17211746,-71.43689145,5.59,5.7,,B8III,"rgb(192,212,254)",11572,HD 225253
379,203217,HD 225216,PM*,High proper-motion Star,1.17492163,67.16644546,5.68,10.3,,K1III,"rgb(255,222,192)",4623,HD 225216
394,1530850,HD 225239,SB*,Spectroscopic binary,1.22400057,34.65979682,6.09,27.18,,G2V,"rgb(255,241,234)",5845,HD 225239
398,105118,HD 225257,**,Double or multiple star,1.22906908,58.53216653,6.61,2.13,,B3V,"rgb(204,219,254)",9823,HD 225257
399,1492457,HD 225276,PM*,High proper-motion Star,1.23333543,26.64876429,6.25,5.34,,K4IIIb,"rgb(254,208,164)",4003,HD 225276
