hip,ra,dec,Vmag,plx,period,SpType,main_id,NAME,rgb,otype_txt,oid,temp
3,0.00502431,38.85927901,6.61,2.81,,B9,HD 224699,,"rgb(199,216,253)",Em*,1543943,10368
19,0.05330922,38.30404973,6.53,4.12,,G5,HD 224721,,"rgb(255,227,202)",*,1543947,4853
25,0.07956353,-44.29056147,6.28,13.74,,G3IV,HD 224750,,"rgb(255,236,221)",**,1151522,5394
34,0.09958476,26.91810825,6.43,12.71,,F7.5IV-V,HD 224758,,"rgb(251,243,244)",PM*,1492405,6326
43,0.12870233,59.55967936,6.18,7.63,,G9III-IV,HD 224784,,"rgb(255,223,194)",PM*,129437,4667
50,0.14308505,-53.09771264,6.49,16.89,,G1IV,HD 224782,,"rgb(254,241,235)",**,3281657,5905
63,0.18180951,45.25333358,6.36,4.81,3.74,B9p SiEu,V* CG And,,"rgb(197,214,253)",a2*,6881,10752
73,0.22032873,66.84801108,6.9,3.97,,K2,HD 224826,,"rgb(254,204,157)",*,203530,3876
88,0.26909344,-48.8098756,5.71,5.97,,G8III,* tau Phe,,"rgb(255,229,206)",*,3281913,4967
106,0.33021487,49.98155781,6.22,4.5,,G7II-III,HD 224870,,"rgb(255,226,200)",*,21653,4815
107,0.33383021,-50.33737333,5.53,5.84,,M2III,HD 224865,,"rgb(253,197,144)",V*,3281927,3628
119,0.39016602,44.67540116,6.82,7.49,,K0,HD 224894,,"rgb(255,222,190)",*,1588553,4578
121,0.39642463,28.42369128,6.83,3.66,,K2III,HD 224895,,"rgb(255,215,179)",*,1502019,4314
122,0.39876554,-77.06572447,4.78,14.77,,K2III,* tet Oct,,"rgb(255,213,173)",PM*,3274649,4205
124,0.40423123,61.2228008,5.58,0.86,,F0III,HD 224893,,"rgb(245,242,252)",*,129411,6843
128,0.41441548,73.6118466,6.5,15.2,,Am...,HD 224890,,"rgb(223,232,255)",SB*,253267,8304
133,0.42347606,-40.14870204,6.62,3.51,,F5IV,HD 224914,,"rgb(252,243,242)",*,1172532,6191
136,0.42869158,24.25311272,6.6,5.84,,K2III-IV,HD 224907,,"rgb(255,218,183)",*,1482904,4403
137,0.43270606,42.36714391,6.25,2.45,,B9IIIp Mn,HD 224906,,"rgb(197,215,253)",*,1588537,10681
145,0.45603512,-3.02750382,5.13,7.98,,B7III-IV,*  29 Psc,,"rgb(190,210,255)",V*,1355285,12066
154,0.490079,-6.01407212,4.37,7.86,,M3III,*  30 Psc,,"rgb(253,197,142)",LP?,1344576,3606
159,0.51090686,-2.76617076,6.93,16.92,,A3,V* BU Psc,,"rgb(236,239,255)",gD*,1367979,7513
171,0.54231321,27.08225603,5.8,80.63,,G3V,*  85 Peg,,"rgb(255,239,228)",SB*,1492688,5636
179,0.56951496,-13.40743745,6.9,14.91,,G0V,HD 224974,,"rgb(252,243,243)",SB*,1314490,6238
181,0.57377241,60.70316774,6.77,2.51,,M0,V* V822 Cas,,"rgb(253,190,128)",LP*,129427,3354
183,0.58300278,-29.72041402,5.04,6.4,,B4V,* zet Scl,,"rgb(188,209,255)",SB*,1239387,12488
186,0.60069578,8.95682361,6.33,7.55,,A6V,*  31 Psc,,"rgb(223,232,255)",*,1422998,8304
194,0.62375948,8.48546309,5.7,26.53,,F0V,* c Psc,,"rgb(238,240,255)",PM*,1422962,7367
207,0.65036241,66.09896618,5.87,1.57,,G8III,HD 225009,,"rgb(255,221,190)",*,203262,4574
238,0.73953381,-20.04588213,6.25,16.16,,F6/F7V,HD 225045,,"rgb(252,243,243)",PM*,1286600,6273
253,0.78273045,-24.14514551,6.46,6.78,,K1III,HD 225069,,"rgb(255,216,180)",PM*,1277053,4356
254,0.78477808,42.74790772,6.73,5.96,,A2,HD 225068,,"rgb(207,221,254)",*,1588627,9530
258,0.80547707,17.55226848,6.59,6.28,,K0,HD 225073,,"rgb(255,219,186)",PM*,1461731,4467
274,0.85713616,63.64051986,6.24,0.93,,B3Ia,HD 225094,,"rgb(240,240,255)",s*b,164372,7264
277,0.85949749,-36.25119274,6.96,15.84,,F2V,HD 225101,,"rgb(241,241,254)",PM*,1208769,7140
297,0.92435158,48.43690676,6.8,6.42,,A2,HD 225124,,"rgb(208,222,254)",*,21577,9433
301,0.93495762,-17.33598771,4.55,14.31,,B9IVn,*   2 Cet,,"rgb(197,214,253)",*,1295423,10752
302,0.96516239,66.71218292,6.31,3.31,,M4,V* V398 Cep,,"rgb(253,197,143)",LP*,203238,3609
330,1.05692695,62.2876637,5.9,0.89,,A1III,*   9 Cas,,"rgb(234,238,255)",*,164397,7631
343,1.08247517,-16.52903618,5.78,11.29,,K0III,HD 225197,,"rgb(255,221,189)",HB*,1304219,4549
345,1.08465585,-29.2688217,6.38,7.75,,A1V,HD 225200,,"rgb(202,218,253)",*,1239495,10051
355,1.12549376,-10.5095233,4.99,2.03,,K3Ibvar,*   3 Cet,,"rgb(253,197,143)",V*,1327570,3622
365,1.15244468,42.09253054,6.11,1.94,,B9III,HD 225218,,"rgb(221,230,255)",**,1555305,8494
377,1.17211746,-71.43689145,5.59,5.7,,B8III,HD 225253,,"rgb(192,212,254)",*,3276145,11572
379,1.17492163,67.16644546,5.68,10.3,,K1III,HD 225216,,"rgb(255,222,192)",PM*,203217,4623
394,1.22400057,34.65979682,6.09,27.18,,G2V,HD 225239,,"rgb(255,241,234)",SB*,1530850,5845
398,1.22906908,58.53216653,6.61,2.13,,B3V,HD 225257,,"rgb(204,219,254)",**,105118,9823
399,1.23333543,26.64876429,6.25,5.34,,K4IIIb,HD 225276,,"rgb(254,208,164)",PM*,1492457,4003
410,1.25495522,27.67478382,6.47,7.63,,G8II,HD 225292,,"rgb(255,228,203)",SB*,1492451,4876
417,1.26592816,-0.50303549,6.32,6.95,,G9III:,HD      6,,"rgb(255,220,188)",PM*,1368105,4516
418,1.27562467,61.31397012,5.8,4.5,,B8MNp...,V* V567 Cas,,"rgb(195,213,253)",a2*,129115,11046
